max_number_agents;total number of seats;median risk density arriving;median risk density sitting;median risk density leaving ;mean risk density arriving;mean risk density sitting;mean risk density leaving
10;101;0;0;0;171,14;4130,63;94,6
20;101;0;0;0;279,84;5210,33;139,18
30;101;0;0;0;323,93;6054,21;179,94
40;101;0;0;0;375,15;8993,31;196,84
50;101;6,79;0;4,37;507,32;16377,01;318,18
60;101;4,31;0;1,23;501,97;14519,35;298,38
70;101;40,63;0;19,59;724,73;20132,14;449,76
80;101;78,05;0;40,14;805,11;22694,07;463,07
90;101;24,46;0;11,17;636,95;25743,48;428,76
100;101;0,64;0;0,05;466,34;24939,87;354,67
