max_number_agents;total number of seats;median risk density arriving;median risk density sitting;median risk density leaving ;mean risk density arriving;mean risk density sitting;mean risk density leaving
10;101;0;0;0;198,99;2903,55;75,62
20;101;0;0;0;260,29;3541,8;107,48
30;101;0;0;0;242,35;5260,14;113,97
40;101;0,04;0;0;392,09;8517,18;163,03
50;101;0,47;0;0,06;405,7;10860,08;210,51
60;101;10,23;0;2,77;543,39;12207,87;257,09
70;101;6,42;0;3,09;510,56;14646,44;264,6
80;101;40,2;0;15,38;656,73;19037,64;313,67
90;101;10,37;0;7,2;581,21;19341,83;311,39
100;101;0,05;0;0,06;370,39;20363,46;278,07
