max_number_agents;total number of seats;median risk density arriving;median risk density sitting;median risk density leaving ;mean risk density arriving;mean risk density sitting;mean risk density leaving
20;416;0;0;0;277,19;9082,19;122,02
40;416;1,97;0;0,38;493,81;15731,12;270,45
60;416;6,87;0;2,15;568,93;22435,94;331,42
80;416;92,5;0;57,63;827,83;33120,3;477,29
100;416;173,66;0;111,24;967,07;39634,93;547,35
120;416;374,52;0;210,34;1249,86;46355,08;706,1
140;416;470,32;0,2;271,43;1344,25;53379,62;782,54
160;416;684,65;50,88;381,41;1512,62;64887,51;882,21
180;416;648,77;70,26;352,63;1490,85;66266,51;851,72
200;416;984,24;525,94;501,31;1785,03;80018,44;1037,98
250;416;1211;2276,29;716,53;1860,87;103419,27;1152,16
300;416;1010,46;3561,86;661,82;1615,69;115757,16;1089,95
350;416;1018,83;7085,96;587,5;1550,11;135192,11;1062,8
400;416;1107,74;11238,33;737,01;1640,92;148965,29;1198,79
