max_number_agents;total number of seats;median risk density arriving;median risk density sitting;median risk density leaving ;mean risk density arriving;mean risk density sitting;mean risk density leaving
20;416;0;0;0;234,32;4364,13;122,76
40;416;0,1;0;0;382,57;7427,06;214,66
60;416;19,46;0;10,99;612,19;11208,62;320,27
80;416;113,26;0;67,34;825,71;15318,11;433,83
100;416;236,11;0;133,8;1057,99;22116,77;576,93
120;416;269,35;0;164,26;1102,18;21642,65;618,74
140;416;274,72;0;146,17;1101,63;25264,41;599,5
160;416;552,27;0;314,83;1366,87;31981,78;791,78
180;416;641,96;0;288,76;1427,19;33025,44;786,04
200;416;736,65;0;398,54;1532;35970,36;866,3
250;416;784,69;16,67;444,17;1514,86;46670,82;892,21
300;416;851,57;283,12;493,56;1464,23;56197,05;906,19
350;416;821,15;1256,63;411,76;1310,59;66547,13;840,44
400;416;802,09;1300;484,84;1292,82;67420,26;883,12
220;416;885,95;1,28;516,43;1668,97;41124,93;960,21
240;416;838,53;2,1;500,28;1561,77;45540,75;930,01
260;416;947,26;66,67;522,48;1633,75;47652,18;954,4
