max_number_agents;total number of seats;median risk density arriving;median risk density sitting;median risk density leaving ;mean risk density arriving;mean risk density sitting;mean risk density leaving
20;208;0;0;0;254,24;6554,32;113,56
40;208;0;0;0;373,85;11942,57;209,76
60;208;3,44;0;0,28;526,13;20466,5;283,04
80;208;102,54;0;72,75;878,21;31465,39;499,4
100;208;149,98;0;103,67;911,08;34884,08;534,36
120;208;288,35;0;176,77;1108,23;46464,65;647,06
140;208;513,64;95,88;276,45;1314,87;60296,22;766,04
160;208;275,75;116,67;164,81;1043,03;59423,53;634,33
180;208;216,15;535,3;143,83;931,69;66474,12;611,63
200;208;194,88;1050;91,06;838,07;70916,47;547,09
