max_number_agents;total number of seats;median risk density arriving;median risk density sitting;median risk density leaving ;mean risk density arriving;mean risk density sitting;mean risk density leaving
20;208;0;0;0;281,31;4828,91;142,78
40;208;8,29;0;4,39;536,43;8612,99;278,78
60;208;40,91;0;15,1;637,5;10072,13;345,96
80;208;62,24;0;38,06;722,5;11137,08;396,33
100;208;242,31;0;147,25;1053,35;15830,39;555,48
120;208;269,82;0;145,5;1085,05;20681,41;580,8
140;208;240,03;0;148,2;1002,22;20915,92;570,01
160;208;284,85;0;194,29;996,05;25716,74;599,19
180;208;137,21;0;92,51;779,66;28850,01;495,19
200;208;78,18;0;65,28;694,49;27626,03;446,75
